分类,序号,时间戳(s),建模用途,文件名,绝对路径
A_map,1,00.50,地图轮廓与拉伸体量,A_map_01_00.50s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/A_map_01_00.50s.jpg
A_map,2,01.50,地图轮廓与拉伸体量,A_map_02_01.50s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/A_map_02_01.50s.jpg
A_map,3,02.50,地图轮廓与拉伸体量,A_map_03_02.50s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/A_map_03_02.50s.jpg
A_map,4,03.50,地图轮廓与拉伸体量,A_map_04_03.50s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/A_map_04_03.50s.jpg
A_map,5,04.50,地图轮廓与拉伸体量,A_map_05_04.50s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/A_map_05_04.50s.jpg
A_map,6,12.50,地图轮廓与拉伸体量,A_map_06_12.50s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/A_map_06_12.50s.jpg
B_terrain_solid,1,05.20,地形起伏、水体、道路与风机分布,B_terrain_solid_01_05.20s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/B_terrain_solid_01_05.20s.jpg
B_terrain_solid,2,05.80,地形起伏、水体、道路与风机分布,B_terrain_solid_02_05.80s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/B_terrain_solid_02_05.80s.jpg
B_terrain_solid,3,06.50,地形起伏、水体、道路与风机分布,B_terrain_solid_03_06.50s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/B_terrain_solid_03_06.50s.jpg
B_terrain_solid,4,07.20,地形起伏、水体、道路与风机分布,B_terrain_solid_04_07.20s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/B_terrain_solid_04_07.20s.jpg
B_terrain_solid,5,08.00,地形起伏、水体、道路与风机分布,B_terrain_solid_05_08.00s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/B_terrain_solid_05_08.00s.jpg
B_terrain_solid,6,08.80,地形起伏、水体、道路与风机分布,B_terrain_solid_06_08.80s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/B_terrain_solid_06_08.80s.jpg
B_terrain_solid,7,11.20,地形起伏、水体、道路与风机分布,B_terrain_solid_07_11.20s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/B_terrain_solid_07_11.20s.jpg
B_terrain_wire,1,09.30,地形三角网结构与线框材质,B_terrain_wire_01_09.30s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/B_terrain_wire_01_09.30s.jpg
B_terrain_wire,2,09.70,地形三角网结构与线框材质,B_terrain_wire_02_09.70s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/B_terrain_wire_02_09.70s.jpg
B_terrain_wire,3,10.10,地形三角网结构与线框材质,B_terrain_wire_03_10.10s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/B_terrain_wire_03_10.10s.jpg
