帧号,时间戳秒（约）,页面,页内状态,帧段说明
1,0.000,统计视图,广西3D地图,区域轮播高亮与指标滚动
2,0.033,统计视图,广西3D地图,区域轮播高亮与指标滚动
3,0.067,统计视图,广西3D地图,区域轮播高亮与指标滚动
4,0.100,统计视图,广西3D地图,区域轮播高亮与指标滚动
5,0.133,统计视图,广西3D地图,区域轮播高亮与指标滚动
6,0.167,统计视图,广西3D地图,区域轮播高亮与指标滚动
7,0.200,统计视图,广西3D地图,区域轮播高亮与指标滚动
8,0.233,统计视图,广西3D地图,区域轮播高亮与指标滚动
9,0.267,统计视图,广西3D地图,区域轮播高亮与指标滚动
10,0.300,统计视图,广西3D地图,区域轮播高亮与指标滚动
11,0.333,统计视图,广西3D地图,区域轮播高亮与指标滚动
12,0.367,统计视图,广西3D地图,区域轮播高亮与指标滚动
13,0.400,统计视图,广西3D地图,区域轮播高亮与指标滚动
14,0.433,统计视图,广西3D地图,区域轮播高亮与指标滚动
15,0.467,统计视图,广西3D地图,区域轮播高亮与指标滚动
16,0.500,统计视图,广西3D地图,区域轮播高亮与指标滚动
17,0.533,统计视图,广西3D地图,区域轮播高亮与指标滚动
18,0.567,统计视图,广西3D地图,区域轮播高亮与指标滚动
19,0.600,统计视图,广西3D地图,区域轮播高亮与指标滚动
20,0.633,统计视图,广西3D地图,区域轮播高亮与指标滚动
21,0.667,统计视图,广西3D地图,区域轮播高亮与指标滚动
22,0.700,统计视图,广西3D地图,区域轮播高亮与指标滚动
23,0.733,统计视图,广西3D地图,区域轮播高亮与指标滚动
24,0.767,统计视图,广西3D地图,区域轮播高亮与指标滚动
25,0.800,统计视图,广西3D地图,区域轮播高亮与指标滚动
26,0.833,统计视图,广西3D地图,区域轮播高亮与指标滚动
27,0.867,统计视图,广西3D地图,区域轮播高亮与指标滚动
28,0.900,统计视图,广西3D地图,区域轮播高亮与指标滚动
29,0.933,统计视图,广西3D地图,区域轮播高亮与指标滚动
30,0.967,统计视图,广西3D地图,区域轮播高亮与指标滚动
31,1.000,统计视图,广西3D地图,区域轮播高亮与指标滚动
32,1.033,统计视图,广西3D地图,区域轮播高亮与指标滚动
33,1.067,统计视图,广西3D地图,区域轮播高亮与指标滚动
34,1.100,统计视图,广西3D地图,区域轮播高亮与指标滚动
35,1.133,统计视图,广西3D地图,区域轮播高亮与指标滚动
36,1.167,统计视图,广西3D地图,区域轮播高亮与指标滚动
37,1.200,统计视图,广西3D地图,区域轮播高亮与指标滚动
38,1.233,统计视图,广西3D地图,区域轮播高亮与指标滚动
39,1.267,统计视图,广西3D地图,区域轮播高亮与指标滚动
40,1.300,统计视图,广西3D地图,区域轮播高亮与指标滚动
41,1.333,统计视图,广西3D地图,区域轮播高亮与指标滚动
42,1.367,统计视图,广西3D地图,区域轮播高亮与指标滚动
43,1.400,统计视图,广西3D地图,区域轮播高亮与指标滚动
