参考板,源参考板文件,面板序号,宽,高,独立图片绝对路径
A 地图六视角,A01-map-six-view-turnaround.png,1,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/A_map/panels/A01-map-six-view-turnaround-p01.png
A 地图六视角,A01-map-six-view-turnaround.png,2,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/A_map/panels/A01-map-six-view-turnaround-p02.png
A 地图六视角,A01-map-six-view-turnaround.png,3,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/A_map/panels/A01-map-six-view-turnaround-p03.png
A 地图六视角,A01-map-six-view-turnaround.png,4,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/A_map/panels/A01-map-six-view-turnaround-p04.png
A 地图六视角,A01-map-six-view-turnaround.png,5,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/A_map/panels/A01-map-six-view-turnaround-p05.png
A 地图六视角,A01-map-six-view-turnaround.png,6,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/A_map/panels/A01-map-six-view-turnaround-p06.png
A 地图几何拆分,A02-map-geometry-breakdown.png,1,561,467,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/A_map/panels/A02-map-geometry-breakdown-p01.png
A 地图几何拆分,A02-map-geometry-breakdown.png,2,561,467,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/A_map/panels/A02-map-geometry-breakdown-p02.png
A 地图几何拆分,A02-map-geometry-breakdown.png,3,561,467,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/A_map/panels/A02-map-geometry-breakdown-p03.png
A 地图几何拆分,A02-map-geometry-breakdown.png,4,561,468,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/A_map/panels/A02-map-geometry-breakdown-p04.png
A 地图几何拆分,A02-map-geometry-breakdown.png,5,561,468,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/A_map/panels/A02-map-geometry-breakdown-p05.png
