页面,区域,模块,关键内容,复用组件,视频证据
全局,顶部,天气,天气：多云转阴,TopHeader,全程
全局,顶部,标题,智慧风电可视化大屏 + VISUALIZATION DEMO,TopHeader,全程
全局,顶部,日期时间,日期+星期+时分秒,TopHeader,全程
全局,底部,一级导航,风场管理/统计视图/运维管理,BottomNavigation,全程
统计视图,左,风机详情,风电机组/装机容量/月发电量/可利用率,WindFarmSummaryPanel,00.00-05.03
统计视图,左,双柱图,1-5月双系列短横块柱,GroupedSegmentBarChart,00.00-05.03
统计视图,左,环图,正常比例+四类状态,StatusDonut,00.00-05.03
统计视图,中,广西3D地图,14地市/风机图标/区域高亮/总发电量,GuangxiMapScene,00.00-05.03
统计视图,中右,地图控制,风机/地标/动画,SceneLayerControls,00.00-05.03
统计视图,右,条形排行,城市TOP与百分比,RankingList,00.00-05.03
统计视图,右,折线图,1-7月趋势,AreaLineChart,00.00-05.03
统计视图,右,设备预警,待处理/已处理告警卡,AlarmList,00.00-05.03
风场管理,左,风场环境,温度/风向/气压/风速或湿度/罗盘,EnvironmentPanel,05.03-12.37
风场管理,左,历史功率,1-7月趋势,AreaLineChart,05.03-12.37
风场管理,左,条形排行,城市TOP自动轮播,RankingList,05.03-12.37
风场管理,中,三维地形,山地/湖面/风机/点位标签,WindFarmTerrainScene,05.03-12.37
风场管理,中右,图层控制,水面/投影/电路,SceneLayerControls,05.03-12.37
风场管理,中,风机弹窗,名称/状态/风速/功率,TurbineInfoPopup,11.53-12.37
风场管理,右,设备状态表,编号/位置/运行状态,EquipmentStatusTable,05.03-12.37
风场管理,右,发电详情,1-5月双系列柱图,GroupedSegmentBarChart,05.03-12.37
运维管理,左,风机详情,风机数量/容量/发电量/可利用率,WindFarmSummaryPanel,13.43-23.57
运维管理,左,双柱图,1-5月双系列短横块柱,GroupedSegmentBarChart,13.43-23.57
运维管理,左,环图,正常比例+四类状态,StatusDonut,13.43-23.57
运维管理,中,单机孪生,主风机A+总发电量+3D模型,TurbineTwinScene,13.43-23.57
运维管理,中右,模型模式,外部/透视/线框/结构/动画,TurbineModeControls,13.43-23.57
运维管理,中下,实时参数,温度/状态/风速等5项,RealtimeMetricsBar,13.43-23.57
运维管理,中,零件弹窗,零件名/风机名/状态/风速/故障列表,PartInfoPopup,18.47-18.97
运维管理,右,条形排行,城市TOP自动轮播,RankingList,13.43-23.57
运维管理,右,折线图,1-7月趋势,AreaLineChart,13.43-23.57
运维管理,右,设备预警,待处理/已处理告警卡,AlarmList,13.43-23.57
