起始帧约,结束帧约,起始时间秒,结束时间秒,页面,状态,关键事件
1,151,0.00,5.03,统计视图,广西3D地图,区域轮播高亮与指标滚动
152,280,5.03,9.23,风场管理,实体地形,山地水面风机点位与设备表滚动
281,331,9.23,11.03,风场管理,线框地形,投影/线框图层开启
332,346,11.03,11.53,风场管理,实体地形,线框图层关闭
347,370,11.53,12.37,风场管理,风机弹窗,选择主风机A
371,402,12.37,13.43,统计视图,广西3D地图,返回统计视图
403,442,13.43,14.73,运维管理,透视,透明外壳显示内部件
443,465,14.73,15.50,运维管理,外部,白色实体风机
466,488,15.50,16.27,运维管理,透视过渡,恢复透明材质并旋转
489,530,16.27,17.67,运维管理,线框或动画强调,叶片出现多重线迹
531,554,17.67,18.47,运维管理,结构,爆炸拆解
555,569,18.47,18.97,运维管理,零件弹窗,零件1故障信息
570,586,18.97,19.53,运维管理,结构,关闭弹窗保持拆解
587,707,19.53,23.57,运维管理,透视,模型重组后持续旋转
